semana,submercado,pld
2024-05-11,N,61.07
2024-05-11,SE,61.07
2024-05-11,S,61.07
2024-05-18,NE,61.07
2024-05-18,N,61.07
2024-05-18,SE,61.07
2024-05-18,S,61.07
2024-05-25,NE,61.07
2024-05-25,N,61.07
2024-05-25,SE,61.07
2024-05-25,S,61.07
2024-06-01,NE,61.07
2024-06-01,N,61.07
2024-06-01,SE,61.07
2024-06-01,S,61.07
2024-06-08,NE,61.07
2024-06-08,N,61.07
2024-06-08,SE,61.07
2024-06-08,S,61.07
2024-06-15,NE,61.07
2024-06-15,N,61.07
2024-06-15,SE,61.07
2024-06-15,S,61.07
2024-06-22,NE,71.39
2024-06-22,N,71.39
2024-06-22,SE,71.39
2024-06-22,S,71.39
2024-06-29,NE,108.64
2024-06-29,N,112.97
2024-06-29,SE,112.96
2024-06-29,S,112.94
2024-07-06,NE,94.39
2024-07-06,N,96.64
2024-07-06,SE,96.63
2024-07-06,S,96.62
2024-07-13,NE,76.49
2024-07-13,N,78.82
2024-07-13,SE,78.81
2024-07-13,S,78.8
2024-07-20,NE,71.6
2024-07-20,N,73.77
2024-07-20,SE,73.76
2024-07-20,S,73.74
2024-07-27,NE,72.07
2024-07-27,N,74.57
2024-07-27,SE,74.56
2024-07-27,S,74.53
2024-08-03,NE,96.51
2024-08-03,N,109.42
2024-08-03,SE,109.4
2024-08-03,S,109.39
2024-08-10,NE,114.01
2024-08-10,N,125.22
2024-08-10,SE,125.2
2024-08-10,S,125.21
2024-08-17,NE,108.57
2024-08-17,N,121.6
2024-08-17,SE,121.58
2024-08-17,S,121.58
2024-08-24,NE,90.85
2024-08-24,N,108.84
2024-08-24,SE,108.82
2024-08-24,S,108.82
2024-08-31,NE,221.77
2024-08-31,N,251.17
2024-08-31,SE,251.16
2024-08-31,S,251.18
2024-09-07,NE,185.82
2024-09-07,N,279.4
2024-09-07,SE,278.46
2024-09-07,S,278.48
2024-09-14,NE,247.97
2024-09-14,N,349.08
2024-09-14,SE,314.2
2024-09-14,S,314.99
2024-09-21,NE,234.06
2024-09-21,N,281.76
2024-09-21,SE,279.83
2024-09-21,S,279.81
2024-09-28,NE,512.01
2024-09-28,N,613.29
2024-09-28,SE,613.22
2024-09-28,S,613.21
2024-10-05,NE,519.34
2024-10-05,N,533.65
2024-10-05,SE,533.35
2024-10-05,S,533.32
2024-10-12,NE,506.45
2024-10-12,N,528.7
2024-10-12,SE,528.56
2024-10-12,S,528.53
2024-10-19,NE,410.36
2024-10-19,N,451.8
2024-10-19,SE,449.64
2024-10-19,S,449.61
2024-10-26,NE,267.28
2024-10-26,N,284.47
2024-10-26,SE,279.33
2024-10-26,S,279.34
2024-11-02,NE,123.59
2024-11-02,N,126.69
2024-11-02,SE,126.09
2024-11-02,S,126.09
2024-11-09,NE,86.08
2024-11-09,N,86.08
2024-11-09,SE,86.08
2024-11-09,S,86.08
2024-11-16,NE,65.54
2024-11-16,N,65.54
2024-11-16,SE,65.54
2024-11-16,S,65.54
2024-11-23,NE,113.43
2024-11-23,N,116.82
2024-11-23,SE,116.8
2024-11-23,S,116.8
2024-11-30,NE,77.58
2024-11-30,N,77.59
2024-11-30,SE,77.59
2024-11-30,S,77.59
2024-12-07,NE,61.07
2024-12-07,N,61.07
2024-12-07,SE,61.07
2024-12-07,S,61.07
2024-12-14,NE,61.07
2024-12-14,N,61.07
2024-12-14,SE,61.07
2024-12-14,S,61.07
2024-12-21,NE,61.07
2024-12-21,N,61.07
2024-12-21,SE,61.07
2024-12-21,S,61.07
2024-12-28,NE,60.01
2024-12-28,N,60.01
2024-12-28,SE,60.01
2024-12-28,S,60.01
2025-12-20,NE,186.7
2025-12-20,N,186.7
2025-12-20,SE,186.79
2025-12-20,S,186.8
2025-12-13,NE,264.59
2025-12-13,N,264.59
2025-12-13,SE,264.59
2025-12-13,S,264.59
2025-12-06,NE,308.09
2025-12-06,N,308.1
2025-12-06,SE,308.1
2025-12-06,S,308.09
2025-11-29,NE,333.03
2025-11-29,N,333.04
2025-11-29,SE,333.04
2025-11-29,S,333.03
2025-11-22,NE,270.8
2025-11-22,N,271.37
2025-11-22,SE,271.37
2025-11-22,S,271.37
2025-11-15,NE,268.19
2025-11-15,N,269.61
2025-11-15,SE,271.18
2025-11-15,S,270.52
2025-11-08,NE,246.22
2025-11-08,N,250.98
2025-11-08,SE,256.08
2025-11-08,S,256.08
2025-11-01,NE,322.09
2025-11-01,N,322.1
2025-11-01,SE,322.1
2025-11-01,S,322.09
2025-10-25,NE,253.11
2025-10-25,N,283.53
2025-10-25,SE,286.14
2025-10-25,S,286.13
2025-10-18,NE,167.67
2025-10-18,N,199.65
2025-10-18,SE,200.36
2025-10-18,S,200.36
2025-10-11,NE,232.76
2025-10-11,N,245.69
2025-10-11,SE,245.77
2025-10-11,S,245.75
2025-10-04,NE,212.09
2025-10-04,N,258.22
2025-10-04,SE,258.33
2025-10-04,S,258.32
2025-09-27,NE,218.82
2025-09-27,N,242.86
2025-09-27,SE,242.87
2025-09-27,S,242.86
2025-09-20,NE,244.82
2025-09-20,N,256.58
2025-09-20,SE,256.57
2025-09-20,S,256.57
2025-09-13,NE,242.95
2025-09-13,N,254.86
2025-09-13,SE,254.86
2025-09-13,S,254.85
2025-09-06,NE,277.22
2025-09-06,N,285.92
2025-09-06,SE,289.65
2025-09-06,S,289.64
2025-08-30,NE,232.05
2025-08-30,N,249.87
2025-08-30,SE,249.93
2025-08-30,S,249.92
2025-08-23,NE,263.38
2025-08-23,N,292.16
2025-08-23,SE,292.63
2025-08-23,S,292.63
2025-08-16,NE,258.54
2025-08-16,N,282.15
2025-08-16,SE,285.5
2025-08-16,S,285.5
2025-08-09,NE,284.5
2025-08-09,N,289.12
2025-08-09,SE,289.52
2025-08-09,S,289.52
2025-08-02,NE,288.44
2025-08-02,N,304.27
2025-08-02,SE,305.64
2025-08-02,S,305.65
2025-07-26,NE,265.64
2025-07-26,N,274.34
2025-07-26,SE,274.45
2025-07-26,S,274.45
2025-07-19,NE,240.46
2025-07-19,N,243.1
2025-07-19,SE,247.13
2025-07-19,S,247.66
2025-07-12,NE,195.03
2025-07-12,N,195.47
2025-07-12,SE,199.66
2025-07-12,S,203.16
2025-01-04,NE,58.6
2025-01-04,N,58.6
2025-01-04,SE,58.6
2025-01-04,S,58.6
2025-01-11,NE,58.6
2025-01-11,N,58.6
2025-01-11,SE,58.6
2025-01-11,S,58.6
2025-01-18,NE,59.97
2025-01-18,N,59.97
2025-01-18,SE,59.97
2025-01-18,S,59.97
2025-01-25,NE,59.8
2025-01-25,N,59.78
2025-01-25,SE,59.94
2025-01-25,S,59.94
2025-02-01,NE,58.6
2025-02-01,N,58.6
2025-02-01,SE,58.63
2025-02-01,S,58.63
2025-02-08,NE,58.6
2025-02-08,N,58.6
2025-02-08,SE,93.15
2025-02-08,S,93.29
2025-02-15,NE,58.6
2025-02-15,N,58.6
2025-02-15,SE,112.49
2025-02-15,S,112.51
2025-02-22,NE,58.6
2025-02-22,N,58.6
2025-02-22,SE,110.77
2025-02-22,S,110.89
2025-03-01,NE,58.6
2025-03-01,N,58.6
2025-03-01,SE,287.72
2025-03-01,S,302.39
2025-03-08,NE,58.63
2025-03-08,N,58.63
2025-03-08,SE,335.55
2025-03-08,S,343.24
2025-03-15,NE,59.5
2025-03-15,N,59.5
2025-03-15,SE,376.96
2025-03-15,S,377.16
2025-03-22,NE,58.86
2025-03-22,N,58.86
2025-03-22,SE,354
2025-03-22,S,354.22
2025-03-29,NE,59
2025-03-29,N,59
2025-03-29,SE,255.4
2025-03-29,S,256.15
2025-04-05,NE,107.47
2025-04-05,N,107.47
2025-04-05,SE,210.22
2025-04-05,S,211.03
2025-04-12,NE,106.88
2025-04-12,N,106.87
2025-04-12,SE,185.81
2025-04-12,S,186.44
2025-04-19,NE,83.95
2025-04-19,N,83.95
2025-04-19,SE,145.44
2025-04-19,S,146.67
2025-04-26,NE,144.72
2025-04-26,N,144.72
2025-04-26,SE,204.55
2025-04-26,S,205.06
2025-05-03,NE,59.84
2025-05-03,N,59.84
2025-05-03,SE,186.4
2025-05-03,S,213.52
2025-05-10,NE,62.35
2025-05-10,N,62.35
2025-05-10,SE,211.8
2025-05-10,S,241.57
2025-05-17,NE,201.32
2025-05-17,N,201.32
2025-05-17,SE,239.51
2025-05-17,S,260.91
2025-05-24,NE,179.77
2025-05-24,N,180.68
2025-05-24,SE,230.58
2025-05-24,S,244.31
2025-05-31,NE,267.9
2025-05-31,N,270.69
2025-05-31,SE,274.69
2025-05-31,S,278.49
2025-06-07,NE,250.97
2025-06-07,N,251.88
2025-06-07,SE,252.67
2025-06-07,S,252.7
2025-06-14,NE,223.1
2025-06-14,N,224.15
2025-06-14,SE,228.97
2025-06-14,S,231.09
2025-06-21,NE,210.65
2025-06-21,N,211.85
2025-06-21,SE,212.7
2025-06-21,S,212.7
2025-06-28,NE,167.98
2025-06-28,N,168.05
2025-06-28,SE,168.44
2025-06-28,S,168.44
2025-07-05,NE,145.88
2025-07-05,N,147.72
2025-07-05,SE,148.6
2025-07-05,S,151.88
2026-08-29,NE,180.81
2026-08-29,N,181.81
2026-08-29,SE,182.45
2026-08-29,S,182.44
2026-08-22,NE,121.7
2026-08-22,N,125.37
2026-08-22,SE,129.37
2026-08-22,S,129.36
2026-08-15,NE,115.66
2026-08-15,N,117.92
2026-08-15,SE,119.99
2026-08-15,S,119.99
2026-08-08,NE,128.4
2026-08-08,N,128.48
2026-08-08,SE,128.52
2026-08-08,S,128.51
2026-08-01,NE,117.82
2026-08-01,N,117.88
2026-08-01,SE,117.9
2026-08-01,S,117.84
2026-07-25,NE,146.13
2026-07-25,N,146.19
2026-07-25,SE,146.54
2026-07-25,S,146.54
2026-07-18,NE,147.73
2026-07-18,N,148.17
2026-07-18,SE,148.84
2026-07-18,S,149.06
2026-07-11,NE,135.37
2026-07-11,N,135.37
2026-07-11,SE,135.37
2026-07-11,S,135.29
2026-07-04,NE,115.72
2026-07-04,N,115.72
2026-07-04,SE,115.72
2026-07-04,S,115.3
2026-06-27,NE,125.03
2026-06-27,N,125.52
2026-06-27,SE,125.66
2026-06-27,S,125.66
2026-06-20,NE,188.31
2026-06-20,N,193.99
2026-06-20,SE,197.04
2026-06-20,S,205.51
2026-06-13,NE,188.94
2026-06-13,N,189.51
2026-06-13,SE,190.01
2026-06-13,S,193.38
2026-06-06,NE,202.96
2026-06-06,N,204.78
2026-06-06,SE,205.63
2026-06-06,S,212.7
2026-05-30,NE,192.94
2026-05-30,N,194.1
2026-05-30,SE,194.45
2026-05-30,S,200.44
2026-05-23,NE,224.84
2026-05-23,N,227.95
2026-05-23,SE,231.99
2026-05-23,S,257.1
2026-05-16,NE,166.92
2026-05-16,N,168.43
2026-05-16,SE,174.32
2026-05-16,S,187.03
2026-05-09,NE,192.97
2026-05-09,N,199.16
2026-05-09,SE,199.76
2026-05-09,S,221.91
2026-05-02,NE,90.37
2026-05-02,N,90.36
2026-05-02,SE,283.41
2026-05-02,S,330.37
2026-04-25,NE,68.17
2026-04-25,N,68.17
2026-04-25,SE,234.63
2026-04-25,S,280.79
2026-04-18,NE,160.3
2026-04-18,N,160.52
2026-04-18,SE,194.36
2026-04-18,S,228.67
2026-04-11,NE,138.53
2026-04-11,N,139.61
2026-04-11,SE,177.39
2026-04-11,S,209.21
2026-04-04,NE,142.63
2026-04-04,N,142.65
2026-04-04,SE,221.42
2026-04-04,S,269.61
2026-03-28,NE,228.64
2026-03-28,N,228.63
2026-03-28,SE,248.26
2026-03-28,S,305.92
2026-03-21,NE,244.98
2026-03-21,N,244.97
2026-03-21,SE,291.27
2026-03-21,S,404.7
2026-03-14,NE,285.09
2026-03-14,N,285.08
2026-03-14,SE,312.26
2026-03-14,S,438.02
2026-03-07,NE,198.34
2026-03-07,N,198.34
2026-03-07,SE,300.41
2026-03-07,S,483.27
2026-02-28,NE,294.36
2026-02-28,N,294.35
2026-02-28,SE,339.84
2026-02-28,S,432.8
2026-02-21,NE,372.8
2026-02-21,N,372.79
2026-02-21,SE,372.86
2026-02-21,S,380.22
2026-02-14,NE,331.34
2026-02-14,N,331.34
2026-02-14,SE,337.84
2026-02-14,S,389.54
2026-02-07,NE,414.4
2026-02-07,N,414.4
2026-02-07,SE,416.88
2026-02-07,S,435.75
2026-01-31,NE,398.29
2026-01-31,N,398.28
2026-01-31,SE,398.29
2026-01-31,S,407.56
2026-01-24,NE,257.02
2026-01-24,N,257.25
2026-01-24,SE,277.39
2026-01-24,S,280.21
2026-01-17,NE,300.88
2026-01-17,N,300.92
2026-01-17,SE,302.71
2026-01-17,S,302.71
2026-01-10,NE,256.14
2026-01-10,N,262.53
2026-01-10,SE,271.09
2026-01-10,S,271.82
2026-01-03,NE,151.74
2026-01-03,N,151.75
2026-01-03,SE,152.16
2026-01-03,S,152.16
2025-12-27,NE,205.41
2025-12-27,N,205.42
2025-12-27,SE,205.42
2025-12-27,S,205.41
